short_name,height_cm,,,,,,,,,,,,,,,,,,,,,,,
L. Piszczek,184,,,,,,,,,,,,,,,,,,,,,,,
K. Gameiro,172,,,,,,,,,,,,,,,,,,,,,,,
D. Payet,175,,,,,,,,,,,,,,,,,,,,,,,
Beñat,177,,,,,,,,,,,,,,,,,,,,,,,
Adán,190,,,,,,,,,,,,,,,,,,,,,,,
B. Höwedes,188,,,,,,,,,,,,,,,,,,,,,,,
F. Muslera,190,,,,,,,,,,,,,,,,,,,,,,,
M. Sissoko,187,,,,,,,,,,,,,,,,,,,,,,,
M. Parolo,184,,,,,,,,,,,,,,,,,,,,,,,
Fernando,183,,,,,,,,,,,,,,,,,,,,,,,
N. Gaitán,173,,,,,,,,,,,,,,,,,,,,,,,
S. Giovinco,163,,,,,,,,,,,,,,,,,,,,,,,
Luiz Gustavo,187,,,,,,,,,,,,,,,,,,,,,,,
N. Nkoulou,184,,,,,,,,,,,,,,,,,,,,,,,
N. Matić,194,,,,,,,,,,,,,,,,,,,,,,,
Marcos Alonso,188,,,,,,,,,,,,,,,,,,,,,,,
H. Mkhitaryan,177,,,,,,,,,,,,,,,,,,,,,,,
André Almeida,185,,,,,,,,,,,,,,,,,,,,,,,
A. Florenzi,173,,,,,,,,,,,,,,,,,,,,,,,
E. Zahavi,182,,,,,,,,,,,,,,,,,,,,,,,
F. Vázquez,186,,,,,,,,,,,,,,,,,,,,,,,
Lucas Vázquez,173,,,,,,,,,,,,,,,,,,,,,,,
Dani García,180,,,,,,,,,,,,,,,,,,,,,,,
M. Acuña,172,,,,,,,,,,,,,,,,,,,,,,,
Laure Santeiro,171,,,,,,,,,,,,,,,,,,,,,,,
J. Frendado,181,,,,,,,,,,,,,,,,,,,,,,,
S. Ardero,171,,,,,,,,,,,,,,,,,,,,,,,
L. Dálves,188,,,,,,,,,,,,,,,,,,,,,,,
S. Mandíquez,188,,,,,,,,,,,,,,,,,,,,,,,
João Félix,181,,,,,,,,,,,,,,,,,,,,,,,
N. Barella,175,,,,,,,,,,,,,,,,,,,,,,,
J. Gomez,188,,,,,,,,,,,,,,,,,,,,,,,
A. Christensen,187,,,,,,,,,,,,,,,,,,,,,,,
M. Maignan,191,,,,,,,,,,,,,,,,,,,,,,,
Y. Tielemans,176,,,,,,,,,,,,,,,,,,,,,,,
Mario Hermoso,184,,,,,,,,,,,,,,,,,,,,,,,
Carlos Soler,180,,,,,,,,,,,,,,,,,,,,,,,
M. Caldara,187,,,,,,,,,,,,,,,,,,,,,,,
H. Winks,176,,,,,,,,,,,,,,,,,,,,,,,
K. Piątek,183,,,,,,,,,,,,,,,,,,,,,,,
Diogo Jota,178,,,,,,,,,,,,,,,,,,,,,,,
Marcos Llorente,184,,,,,,,,,,,,,,,,,,,,,,,
F. Mendy,180,,,,,,,,,,,,,,,,,,,,,,,
Melendo,167,,,,,,,,,,,,,,,,,,,,,,,
Rúben Dias,186,,,,,,,,,,,,,,,,,,,,,,,
D. Livaković,187,,,,,,,,,,,,,,,,,,,,,,,
